topic_0,topic_1,topic_2,topic_3,topic_4
0.0014794197449055622,0.9940904871656048,0.0014819236309914843,0.0014723912636849753,0.001475778194813076
0.0015349450356077988,0.6182668303051618,0.001528525655606289,0.0015237111724662568,0.37714598783115766
0.0012312083998723732,0.7091158408705244,0.28720791179709265,0.0012225972423755287,0.001222441690135127
0.0015057937801621034,0.0015041945474954224,0.0014898300617122503,0.9940060076611006,0.0014941739495297804
0.9846745806358719,0.0012767389635992526,0.0012778295039295154,0.01148472977225173,0.0012861211243476087
0.29203347707459454,0.646385502848794,0.020493232675773673,0.020550031458198136,0.02053775594263951
0.518837803133354,0.01692999783198525,0.016947752620278797,0.016732443183113573,0.43055200323126835
0.01463418491472085,0.01440551090239426,0.014384435722678212,0.2321499022389736,0.7244259662212331
0.0009279895934291746,0.9962805078146838,0.0009257672769184483,0.0009322339159549838,0.0009335013990136651
0.9950060911078056,0.0012586011648166842,0.0012444653150809667,0.0012456180473001033,0.0012452243649965682
0.001504631507865995,0.0015118380325142046,0.0015175316545465757,0.0015236413804117037,0.9939423574246614
0.8360191548081731,0.04146788362918233,0.0411967719610963,0.040761293560348126,0.040554896041199946
0.001207492228562628,0.0012251311585284744,0.9951551509075762,0.0012028118442289537,0.0012094138611038693
0.0016676003839496472,0.001682383740999259,0.0016656445741245098,0.0016612328425709526,0.9933231384583556
0.001441530292022563,0.363679056205308,0.0014506162264562342,0.6319783574744059,0.0014504398018074414
0.42393437337943213,0.00119827310872243,0.00118672019316989,0.5724999139000714,0.0011807194186042147
0.0009091015810029756,0.3564924099256456,0.640797770066593,0.000898791629151015,0.0009019267976073745
0.0010458730137609426,0.0010513775731535145,0.0010481475439924196,0.0010656499396141858,0.9957889519294789
0.0013451203344464094,0.001347434197148572,0.994630601182325,0.0013400402717628592,0.001336804014317141
0.27387534582166806,0.12518038953374255,0.001345352125818223,0.3111898686690271,0.2884090438497441
0.0012569366921950842,0.0012491690803193903,0.0012492854753323995,0.0012546929750485002,0.9949899157771046
0.002201771925273418,0.3463914572643548,0.0022155540098264333,0.646977245382605,0.0022139714179404417
0.0007808341461299545,0.5014157915884297,0.4962462737591948,0.0007771229332938171,0.0007799775729518944
0.0014508929895052018,0.0014576055540907076,0.0014590626695164589,0.9941723456693027,0.0014600931175848774
0.0009466565055662018,0.5802876528910572,0.0009409053197145737,0.41687792768946935,0.0009468575941925788
0.015665165082732208,0.2742935984394468,0.42118420361490494,0.273053360700682,0.015803672162234036
0.01706466123147643,0.4569001773033386,0.01719654843605204,0.01737389634436469,0.4914647166847683
0.37956255247414583,0.27713979539678396,0.3405086294401996,0.0013944607286892,0.0013945619601813382
0.04064693991771485,0.04074024859284966,0.04004212627378237,0.8384672225743394,0.04010346264131373
0.0015006582929147944,0.0014889533823824153,0.0014798803035185315,0.8694263102506451,0.1261041977705392
0.0010398870248538182,0.0010464226667289962,0.9958563364055488,0.001029083472387168,0.0010282704304812541
0.0011763385902628335,0.9953245572825723,0.0011672100522727089,0.0011692589107951104,0.0011626351640969953
0.17176935077712352,0.0014229004357816607,0.0014101095539284286,0.8239946681014628,0.001402971131703675
0.672878892887635,0.3232668033025042,0.0012833098797083652,0.0012772190839852949,0.0012937748461671356
0.04043935134427815,0.04053486329796376,0.04069619081121472,0.04096737683089042,0.8373622177156529
0.0013049611776097465,0.9948565404090829,0.0012796254533213773,0.0012776349781922233,0.0012812379817936845
0.33957798064568506,0.6573153828442654,0.0010427811977847597,0.0010361123440950609,0.0010277429681697324
0.2834198193519222,0.029814591523902246,0.6281539514985537,0.02934670773620952,0.02926492988941241
0.02527728522683216,0.025130277990973338,0.025100024136907914,0.02543854423029663,0.89905386841499
0.2637470102119177,0.0126584166748851,0.012780511521681184,0.281213154307278,0.42960090728423805
0.20601548711404044,0.79095591855679,0.0010253166346993559,0.001004072591755264,0.0009992051027148095
0.11843159582772186,0.025527395579760706,0.0014921796577190395,0.8530429016020882,0.0015059273327101541
0.002547421504154711,0.4682486975219804,0.5240992559847206,0.0025403973281331155,0.002564227661011122
