Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
HMG-box transcription factor 1,HBP1,-2.371,5.29E-21,Nucleus,transcription regulator,,,,,,,,,,,,,,
HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,HERC6,3.715,7.52E-41,Cytoplasm,enzyme,,,,,,,,,,,,,,
hes family bHLH transcription factor 1,HES1,-2.39,6.90E-38,Nucleus,transcription regulator,,,,,,,,,,,,,,
"major histocompatibility complex, class II, DP alpha 1",HLA-DPA1,2.064,2.80E-11,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
3-hydroxy-3-methylglutaryl-CoA synthase 2,HMGCS2,-2.187,1.83E-14,Cytoplasm,enzyme,,,,,,,,,,,,,,
heterogeneous nuclear ribonucleoprotein M,HNRNPM,-2.051,9.98E-19,Nucleus,other,,,,,,,,,,,,,,
HORMA domain containing 1,HORMAD1,2.464,8.12E-09,Nucleus,other,,,,,,,,,,,,,,
heparanase,HPSE,4.604,1.18E-85,Plasma Membrane,enzyme,,,,,,,,,,,,,,
hydroxysteroid 11-beta dehydrogenase 1,HSD11B1,-2.905,1.46E-27,Cytoplasm,enzyme,,,,,,,,,,,,,,
hydroxysteroid 17-beta dehydrogenase 1,HSD17B1,2.462,1.14E-32,Cytoplasm,enzyme,,,,,,,,,,,,,,
"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",HSD3B1,-3.592,1.33E-19,Cytoplasm,enzyme,,,,,,,,,,,,,,
5-hydroxytryptamine receptor 3A,HTR3A,3.104,2.14E-13,Plasma Membrane,ion channel,,,,,,,,,,,,,,
hyaluronidase 4,HYAL4,3.513,2.79E-47,Plasma Membrane,enzyme,,,,,,,,,,,,,,
inhibitor of DNA binding 4,ID4,-2.407,4.02E-24,Nucleus,transcription regulator,,,,,,,,,,,,,,
"indoleamine 2,3-dioxygenase 1",IDO1,2.082,5.18E-10,Cytoplasm,enzyme,,,,,,,,,,,,,,
interferon alpha inducible protein 6,IFI6,3.741,2.02E-23,Cytoplasm,other,,,,,,,,,,,,,,
